   4.0000000e+02   1.3838765e+00   0.0000000e+00
   4.0200000e+02   1.3837625e+00   0.0000000e+00
   4.0400000e+02   1.3836485e+00   0.0000000e+00
   4.0600000e+02   1.3835345e+00   0.0000000e+00
   4.0800000e+02   1.3834252e+00   0.0000000e+00
   4.1000000e+02   1.3833230e+00   0.0000000e+00
   4.1200000e+02   1.3832209e+00   0.0000000e+00
   4.1400000e+02   1.3831187e+00   0.0000000e+00
   4.1600000e+02   1.3830165e+00   0.0000000e+00
   4.1800000e+02   1.3829144e+00   0.0000000e+00
   4.2000000e+02   1.3828122e+00   0.0000000e+00
   4.2200000e+02   1.3827101e+00   0.0000000e+00
   4.2400000e+02   1.3826184e+00   0.0000000e+00
   4.2600000e+02   1.3825268e+00   0.0000000e+00
   4.2800000e+02   1.3824351e+00   0.0000000e+00
   4.3000000e+02   1.3823435e+00   0.0000000e+00
   4.3200000e+02   1.3822518e+00   0.0000000e+00
   4.3400000e+02   1.3821602e+00   0.0000000e+00
   4.3600000e+02   1.3820685e+00   0.0000000e+00
   4.3800000e+02   1.3819806e+00   0.0000000e+00
   4.4000000e+02   1.3818984e+00   0.0000000e+00
   4.4200000e+02   1.3818161e+00   0.0000000e+00
   4.4400000e+02   1.3817338e+00   0.0000000e+00
   4.4600000e+02   1.3816515e+00   0.0000000e+00
   4.4800000e+02   1.3815692e+00   0.0000000e+00
   4.5000000e+02   1.3814869e+00   0.0000000e+00
   4.5200000e+02   1.3814046e+00   0.0000000e+00
   4.5400000e+02   1.3813261e+00   0.0000000e+00
   4.5600000e+02   1.3812521e+00   0.0000000e+00
   4.5800000e+02   1.3811782e+00   0.0000000e+00
   4.6000000e+02   1.3811042e+00   0.0000000e+00
   4.6200000e+02   1.3810303e+00   0.0000000e+00
   4.6400000e+02   1.3809564e+00   0.0000000e+00
   4.6600000e+02   1.3808824e+00   0.0000000e+00
   4.6800000e+02   1.3808085e+00   0.0000000e+00
   4.7000000e+02   1.3807364e+00   0.0000000e+00
   4.7200000e+02   1.3806698e+00   0.0000000e+00
   4.7400000e+02   1.3806033e+00   0.0000000e+00
   4.7600000e+02   1.3805367e+00   0.0000000e+00
   4.7800000e+02   1.3804702e+00   0.0000000e+00
   4.8000000e+02   1.3804036e+00   0.0000000e+00
   4.8200000e+02   1.3803371e+00   0.0000000e+00
   4.8400000e+02   1.3802706e+00   0.0000000e+00
   4.8600000e+02   1.3802040e+00   0.0000000e+00
   4.8800000e+02   1.3801424e+00   0.0000000e+00
   4.9000000e+02   1.3800825e+00   0.0000000e+00
   4.9200000e+02   1.3800225e+00   0.0000000e+00
   4.9400000e+02   1.3799625e+00   0.0000000e+00
   4.9600000e+02   1.3799026e+00   0.0000000e+00
   4.9800000e+02   1.3798426e+00   0.0000000e+00
   5.0000000e+02   1.3797827e+00   0.0000000e+00
   5.0200000e+02   1.3797227e+00   0.0000000e+00
   5.0400000e+02   1.3796628e+00   0.0000000e+00
   5.0600000e+02   1.3796084e+00   0.0000000e+00
   5.0800000e+02   1.3795543e+00   0.0000000e+00
   5.1000000e+02   1.3795002e+00   0.0000000e+00
   5.1200000e+02   1.3794461e+00   0.0000000e+00
   5.1400000e+02   1.3793920e+00   0.0000000e+00
   5.1600000e+02   1.3793379e+00   0.0000000e+00
   5.1800000e+02   1.3792838e+00   0.0000000e+00
   5.2000000e+02   1.3792297e+00   0.0000000e+00
   5.2200000e+02   1.3791756e+00   0.0000000e+00
   5.2400000e+02   1.3791260e+00   0.0000000e+00
   5.2600000e+02   1.3790771e+00   0.0000000e+00
   5.2800000e+02   1.3790282e+00   0.0000000e+00
   5.3000000e+02   1.3789793e+00   0.0000000e+00
   5.3200000e+02   1.3789305e+00   0.0000000e+00
   5.3400000e+02   1.3788816e+00   0.0000000e+00
   5.3600000e+02   1.3788327e+00   0.0000000e+00
   5.3800000e+02   1.3787838e+00   0.0000000e+00
   5.4000000e+02   1.3787350e+00   0.0000000e+00
   5.4200000e+02   1.3786879e+00   0.0000000e+00
   5.4400000e+02   1.3786437e+00   0.0000000e+00
   5.4600000e+02   1.3785995e+00   0.0000000e+00
   5.4800000e+02   1.3785553e+00   0.0000000e+00
   5.5000000e+02   1.3785110e+00   0.0000000e+00
   5.5200000e+02   1.3784668e+00   0.0000000e+00
   5.5400000e+02   1.3784226e+00   0.0000000e+00
   5.5600000e+02   1.3783784e+00   0.0000000e+00
   5.5800000e+02   1.3783342e+00   0.0000000e+00
   5.6000000e+02   1.3782899e+00   0.0000000e+00
   5.6200000e+02   1.3782482e+00   0.0000000e+00
   5.6400000e+02   1.3782081e+00   0.0000000e+00
   5.6600000e+02   1.3781680e+00   0.0000000e+00
   5.6800000e+02   1.3781280e+00   0.0000000e+00
   5.7000000e+02   1.3780879e+00   0.0000000e+00
   5.7200000e+02   1.3780478e+00   0.0000000e+00
   5.7400000e+02   1.3780077e+00   0.0000000e+00
   5.7600000e+02   1.3779676e+00   0.0000000e+00
   5.7800000e+02   1.3779276e+00   0.0000000e+00
   5.8000000e+02   1.3778875e+00   0.0000000e+00
   5.8200000e+02   1.3778491e+00   0.0000000e+00
